app,owner,branch,containers,jobCount,walltime
app-freesurfer-stats,brainlife,parc-stats-v1.1,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-v1.1,docker://brainlife/freesurfer:6.0.0,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-v1.2,docker://brainlife/mcr:2019a,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-v1.2,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-v1.2,docker://brainlife/freesurfer:6.0.0,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/mcr:2019a,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/freesurfer:6.0.0,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-diffusion-v1.0,docker://brainlife/fsl:5.0.9,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-v1.0,docker://brainlife/mcr:2019a,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-v1.0,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,parc-stats-volume-v1.0,docker://brainlife/freesurfer:6.0.0,106224,36411808514
app-freesurfer-stats,brainlife,subcort-stats-v1.0,docker://brainlife/fsl:5.0.9,106224,36411808514
app-freesurfer-stats,brainlife,subcort-stats-v1.0,docker://brainlife/freesurfer:6.0.0,106224,36411808514
app-freesurfer-stats,brainlife,subcort-stats-v1.0,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,updated-parc-stats-surface-v1.0,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,updated-parc-stats-surface-v1.0,docker://brainlife/freesurfer:6.0.0,106224,36411808514
app-freesurfer-stats,brainlife,v1.0,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,v1.1,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,v1.1,docker://brainlife/freesurfer-mini:6.0.1,106224,36411808514
app-freesurfer-stats,brainlife,v1.1,docker://brainlife/mcr:r2019a,106224,36411808514
app-freesurfer-stats,brainlife,v1.2,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,v1.2,docker://brainlife/freesurfer-mini:6.0.1,106224,36411808514
app-freesurfer-stats,brainlife,v1.2,docker://brainlife/mcr:r2019a,106224,36411808514
app-freesurfer-stats,brainlife,v1.3,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,v1.3,docker://brainlife/freesurfer-mini:6.0.1,106224,36411808514
app-freesurfer-stats,brainlife,v1.3,docker://brainlife/mcr:r2019a,106224,36411808514
app-freesurfer-stats,brainlife,v1.4,docker://brainlife/freesurfer-stats:1.2,106224,36411808514
app-freesurfer-stats,brainlife,v1.4,docker://brainlife/freesurfer-mini:6.0.1,106224,36411808514
app-freesurfer-stats,brainlife,v1.4,docker://brainlife/mcr:r2019a,106224,36411808514
app-hcp-acpc-alignment,brainlife,master,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,1.0,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,1.1,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,1.2,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,1.3,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,1.4,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,mp2rage-v1.4,docker://brainlife/fsl:5.0.9,98133,36336271243
app-hcp-acpc-alignment,brainlife,mp2rage-v1.5,docker://brainlife/fsl:5.0.9,98133,36336271243
app-fmriprep,brainlife,master,docker://nipreps/fmriprep:21.0.1,55769,232062827639
app-fmriprep,brainlife,master,docker://brainlife/dipy:1.4.1,55769,232062827639
app-fmriprep,brainlife,1.0,docker://poldracklab/fmriprep,55769,232062827639
app-fmriprep,brainlife,1.0.1,docker://poldracklab/fmriprep:1.2.6-1,55769,232062827639
app-fmriprep,brainlife,1.2,docker://poldracklab/fmriprep:1.5.1rc2,55769,232062827639
app-fmriprep,brainlife,1.3,docker://poldracklab/fmriprep:1.5.1rc2,55769,232062827639
app-fmriprep,brainlife,1.4,docker://poldracklab/fmriprep:1.5.1rc2,55769,232062827639
app-fmriprep,brainlife,1.5.5,docker://poldracklab/fmriprep:1.5.5,55769,232062827639
app-fmriprep,brainlife,1.5.6,docker://poldracklab/fmriprep:1.5.5,55769,232062827639
app-fmriprep,brainlife,1.5.6,docker://brainlife/freesurfer_on_mcr:6.0.0,55769,232062827639
app-fmriprep,brainlife,1.5.5,docker://brainlife/freesurfer_on_mcr:6.0.0,55769,232062827639
app-fmriprep,brainlife,1.5.10,docker://poldracklab/fmriprep:1.5.10,55769,232062827639
app-fmriprep,brainlife,1.5.10,docker://brainlife/freesurfer_on_mcr:6.0.0,55769,232062827639
app-fmriprep,brainlife,20.0.7,docker://nipreps/fmriprep:20.0.7,55769,232062827639
app-fmriprep,brainlife,20.2.0,docker://nipreps/fmriprep:20.2.0,55769,232062827639
app-fmriprep,brainlife,20.2.1-2,docker://nipreps/fmriprep:20.2.1,55769,232062827639
app-fmriprep,brainlife,20.2.1,docker://nipreps/fmriprep:20.2.1,55769,232062827639
app-fmriprep,brainlife,20.2.3-2,docker://nipreps/fmriprep:20.2.3,55769,232062827639
app-fmriprep,brainlife,20.2.3-2,docker://brainlife/dipy:1.4.1,55769,232062827639
app-fmriprep,brainlife,20.2.3,docker://nipreps/fmriprep:20.2.3,55769,232062827639
app-fmriprep,brainlife,21.0.1,docker://nipreps/fmriprep:21.0.1,55769,232062827639
app-fmriprep,brainlife,21.0.1,docker://brainlife/dipy:1.4.1,55769,232062827639
app-fmriprep,brainlife,bids,docker://nipreps/fmriprep:20.1.1,55769,232062827639
app-fmriprep,brainlife,bids,docker://brainlife/freesurfer_on_mcr:6.0.0,55769,232062827639
app-mrtrix3-preproc,brainlife,master,docker://brainlife/mrtrix3:3.0.2,70911,201978133276
app-mrtrix3-preproc,brainlife,1.0,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.1,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.2,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.3,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.4,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.5,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.6,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,1.7,docker://brainlife/mrtrix3:3.0.2,70911,201978133276
app-mrtrix3-preproc,brainlife,1.8,docker://brainlife/mrtrix3:3.0.2,70911,201978133276
app-mrtrix3-preproc,brainlife,mask-fix,docker://brainlife/mrtrix3:3.0_RC3,70911,201978133276
app-mrtrix3-preproc,brainlife,mrtrix-official-container,docker://brainlife/mrtrix3:3.0.3,70911,201978133276
app-tractanalysisprofiles,brainlife,master,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.2,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.3,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.4,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.5,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.6,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.7,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.8,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.9,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.10,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
app-tractanalysisprofiles,brainlife,1.11,docker://brainlife/mcr:neurodebian1604-r2017a,50779,42432731644
