app,owner,branch,containers
app-freesurfer-stats,brainlife,v1.1,docker://brainlife/mcr:r2019a
app-freesurfer-stats,brainlife,v1.2,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,v1.2,docker://brainlife/freesurfer-mini:6.0.1
app-freesurfer-stats,brainlife,v1.2,docker://brainlife/mcr:r2019a
app-freesurfer-stats,brainlife,v1.3,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,v1.3,docker://brainlife/freesurfer-mini:6.0.1
app-freesurfer-stats,brainlife,v1.3,docker://brainlife/mcr:r2019a
app-freesurfer-stats,brainlife,v1.4,docker://brainlife/freesurfer-stats:1.2
app-freesurfer-stats,brainlife,v1.4,docker://brainlife/freesurfer-mini:6.0.1
app-freesurfer-stats,brainlife,v1.4,docker://brainlife/mcr:r2019a
app-hcp-acpc-alignment,brainlife,master,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,1.0,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,1.1,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,1.2,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,1.3,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,1.4,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,mp2rage-v1.4,docker://brainlife/fsl:5.0.9
app-hcp-acpc-alignment,brainlife,mp2rage-v1.5,docker://brainlife/fsl:5.0.9
app-fmriprep,brainlife,master,docker://nipreps/fmriprep:21.0.1
app-fmriprep,brainlife,master,docker://brainlife/dipy:1.4.1
app-fmriprep,brainlife,1.0,docker://poldracklab/fmriprep
app-fmriprep,brainlife,1.0.1,docker://poldracklab/fmriprep:1.2.6-1
app-fmriprep,brainlife,1.2,docker://poldracklab/fmriprep:1.5.1rc2
app-fmriprep,brainlife,1.3,docker://poldracklab/fmriprep:1.5.1rc2
app-fmriprep,brainlife,1.4,docker://poldracklab/fmriprep:1.5.1rc2
app-fmriprep,brainlife,1.5.5,docker://poldracklab/fmriprep:1.5.5
app-fmriprep,brainlife,1.5.6,docker://poldracklab/fmriprep:1.5.5
app-fmriprep,brainlife,1.5.6,docker://brainlife/freesurfer_on_mcr:6.0.0
app-fmriprep,brainlife,1.5.5,docker://brainlife/freesurfer_on_mcr:6.0.0
app-fmriprep,brainlife,1.5.10,docker://poldracklab/fmriprep:1.5.10
app-fmriprep,brainlife,1.5.10,docker://brainlife/freesurfer_on_mcr:6.0.0
app-fmriprep,brainlife,20.0.7,docker://poldracklab/fmriprep:20.0.7
app-fmriprep,brainlife,20.2.0,docker://poldracklab/fmriprep:20.2.0
app-fmriprep,brainlife,20.2.1-2,docker://poldracklab/fmriprep:20.2.1
app-fmriprep,brainlife,20.2.1,docker://poldracklab/fmriprep:20.2.1
app-fmriprep,brainlife,20.2.3-2,docker://poldracklab/fmriprep:20.2.3
app-fmriprep,brainlife,20.2.3-2,docker://brainlife/dipy:1.4.1
app-fmriprep,brainlife,20.2.3,docker://poldracklab/fmriprep:20.2.3
app-fmriprep,brainlife,21.0.1,docker://poldracklab/fmriprep:21.0.1
app-fmriprep,brainlife,21.0.1,docker://brainlife/dipy:1.4.1
app-fmriprep,brainlife,bids,docker://poldracklab/fmriprep:20.1.1
app-fmriprep,brainlife,bids,docker://brainlife/freesurfer_on_mcr:6.0.0
app-mrtrix3-preproc,brainlife,master,docker://brainlife/mrtrix3:3.0.2
app-mrtrix3-preproc,brainlife,1.0,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.1,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.2,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.3,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.4,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.5,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.6,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,1.7,docker://brainlife/mrtrix3:3.0.2
app-mrtrix3-preproc,brainlife,1.8,docker://brainlife/mrtrix3:3.0.2
app-mrtrix3-preproc,brainlife,mask-fix,docker://brainlife/mrtrix3:3.0_RC3
app-mrtrix3-preproc,brainlife,mrtrix-official-container,docker://brainlife/mrtrix3:3.0.3
app-tractanalysisprofiles,brainlife,master,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.2,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.3,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.4,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.5,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.6,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.7,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.8,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.9,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.10,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.11,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.11,docker://brainlife/freesurfer-stats:1.2
app-tractanalysisprofiles,brainlife,1.12,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.12,docker://brainlife/freesurfer-stats:1.2
app-tractanalysisprofiles,brainlife,1.13,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,1.13,docker://brainlife/freesurfer-stats:1.2
app-tractanalysisprofiles,brainlife,NODDI,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,dipy-1.0,docker:/brainlife/pyafq:dev
app-tractanalysisprofiles,brainlife,latest,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,test-cesar,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractanalysisprofiles,brainlife,v1.1,docker://brainlife/mcr:neurodebian1604-r2017a
app-tractographyQualityCheck,brainlife,master,docker:/brainlife/mcr:r2019a
app-tractographyQualityCheck,brainlife,"1,0",docker:/brainlife/mcr:r2019a
app-tractographyQualityCheck,brainlife,1.1,docker:/brainlife/mcr:r2019a
app-tractographyQualityCheck,brainlife,1.2,docker:/brainlife/mcr:r2019a
app-tractographyQualityCheck,brainlife,1.3,docker:/brainlife/mcr:r2019a
app-tractographyQualityCheck,brainlife,1.4,docker:/brainlife/mcr:r2019a
app-tractographyQualityCheck,brainlife,regexFix,docker:/brainlife/mcr:r2019a
app-FSLBET,brainlife,master,docker:/brainlife/fsl:6.0.4
app-FSLBET,brainlife,1.1,docker:/brainlife/fsl:5.0.9
app-FSLBET,brainlife,2.0,docker:/brainlife/fsl:6.0.4
app-FSLBET,brainlife,dwi,docker:/brainlife/fsl:5.0.9
app-FSLBET,brainlife,t2,docker:/brainlife/fsl:5.0.9
